ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
23757270;57.4;19.5;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23757176;0;0;0;0;0.912;578.683;0;0;0;-0.013;0.013;1;23757176;0;0;0;0;0;0;0;0;0;23754695;54.69462740;25.25053060;131.70001221;0.00000000;0.00000000;20.00000000;1.60825777;
23757371;57.2;19.4;0;0;0;16.6;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0.001;23757274;0;0;0;0;0.912;578.717;0;0;0;-0.013;0.013;1;23757274;0;0;0;0;0;0;0;0;0;23754695;54.69462740;25.25053060;131.70001221;0.00000000;0.00000000;20.00000000;1.60825777;
23757466;57.2;19.5;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23757372;0;0;0;0;0.912;578.689;0;0;0;-0.013;0.013;1;23757372;0;0;0;0;0;0;0;0;0;23754695;54.69462740;25.25053060;131.70001221;0.00000000;0.00000000;20.00000000;1.60825777;
23757656;57.3;19.5;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23757467;0;0;0;0;0.912;578.711;0;0;0;-0.013;0.013;1;23757468;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
23757805;57.2;19.5;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23757659;0;0;0;0;0.912;578.679;0;0;0;-0.013;0.013;1;23757659;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
23758001;57.2;19.5;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23757806;0;0;0;0;0.912;578.662;0;0;0;-0.013;0.013;1;23757863;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
23758148;57.3;19.4;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23758003;0;0;0;0;0.912;578.723;0;0;0;-0.013;0.013;1;23758003;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
23758295;57.2;19.5;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23758152;0;0;0;0;0.912;578.747;0;0;0;-0.013;0.013;1;23758152;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
23758438;57.3;19.5;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23758296;0;0;0;0;0.912;578.747;0;0;0;-0.013;0.013;1;23758297;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
23758585;57.3;19.4;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;-0.001;0;23758446;0;0;0;0;0.912;578.797;0;0;0;-0.013;0.013;1;23758446;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
23758682;57.2;19.5;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23758635;0;0;0;0;0.912;578.809;0;0;0;-0.013;0.013;1;23758635;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
23758785;57.3;19.5;0;0;0;16.6;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;-0.001;0;23758784;0;0;0;0;0.912;578.783;0;0;0;-0.013;0.013;1;23758785;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
23758880;57.2;19.4;0;0;0;16.6;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0.001;23758784;0;0;0;0;0.912;578.783;0;0;0;-0.013;0.013;1;23758785;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
23758976;57.3;19.5;0;0;0;16.5;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0.002;23758881;0;0;0;0;0.912;578.763;0;0;0;-0.013;0.013;1;23758881;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
